Linha;Sublinha;PC;SIU;id_hex;mes;ano;Alteracao_QH;Alteracao_IT;pass;Houve aumento passageiro;Tarifa_Aumento;Tarifa_reducao;Cluster
1404C;1;1;jul/11;89a88cdaadbffff;AGO;2022;1;0;4;0;0;0;0
1404C;1;1;dez/10;89a88cdaac3ffff;AGO;2022;1;0;4;0;0;0;0
1404C;1;1;dez/10;89a88cdaac3ffff;AGO;2022;1;0;2;0;0;0;0
1404C;1;2;dez/10;89a88cdaac3ffff;AGO;2022;1;0;30;0;0;0;0
1404C;1;2;dez/10;89a88cdaac3ffff;AGO;2022;1;0;42;0;0;0;0
1404C;1;2;jul/11;89a88cdaadbffff;AGO;2022;1;0;27;0;0;0;0
1505;1;1;ago/82;89a88cda313ffff;AGO;2022;1;0;85;0;0;0;0
1505;3;1;nov/83;89a88cda313ffff;AGO;2022;1;0;0;0;0;0;0
1505;3;1;nov/83;89a88cda313ffff;AGO;2022;1;0;0;0;0;0;0
1505;3;1;ago/82;89a88cda313ffff;AGO;2022;1;0;0;0;0;0;0
1509;7;1;nov/83;89a88cda313ffff;AGO;2022;1;0;26;0;0;0;0
1509;7;1;nov/83;89a88cda313ffff;AGO;2022;1;0;65;0;0;0;0
4034;1;1;out/09;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;1;1;abr/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;1;1;abr/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;1;1;mar/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;2;1;out/09;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;2;1;abr/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;2;1;abr/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;2;1;mar/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;7;1;out/09;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;7;1;abr/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;7;1;abr/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;7;1;mar/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;9;1;out/09;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;9;1;abr/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;9;1;abr/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;9;1;mar/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
4034;10;1;out/09;89a88cd8593ffff;AGO;2022;1;0;8;0;0;0;0
4034;10;1;abr/12;89a88cd8593ffff;AGO;2022;1;0;4;0;0;0;0
4034;10;1;abr/12;89a88cd8593ffff;AGO;2022;1;0;0;0;0;0;0
